sep=,
project_log_link,type,client,site_name,project_no,shift_start_date,shift_start_day,night_or_day_shift,week_no,leave_place_of_rest,arrive_place_of_rest,total_travel_time,arrive_on_site,leave_site,total_site_time,time_lost,time_lost_2,time_lost_3,time_lost_4,inorail_staff,elr,postcode,miles_from,yards_from,miles_to,yards_to,total_yardage,was_shift_cancelled,staff_attended_count,subcontractors_attended_count,survey_grid,fiscal_week,fiscal_month,fiscal_quarter,fiscal_year,calendar_week,calendar_month,calendar_year
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_GOOSEPOOL_UB13_25-06-12_W11_Thursday_Day_JW - 1.xlsm,Monitoring,AMCO,GOOSEPOOL UB13,990,06/12/2025,Thursday,Day,11,04:30:00,11:30:00,06:30:00,07:30:00,08:00:00,00:30:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,11,3,1,2026,24,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_GOOSEPOOL_UB13_25-06-11_W11_Wednesday_Day_JW.xlsm,Monitoring,AMCO,GOOSEPOOL UB13,990,06/11/2025,Wednesday,Day,11,05:00:00,12:15:00,06:30:00,08:00:00,08:45:00,00:45:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,11,3,1,2026,24,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_GOOSEPOOL_UB13_25-06-09_W11_Monday_Day_JW.xlsm,Monitoring,AMCO,GOOSEPOOL UB13,990,06/09/2025,Monday,Day,11,05:00:00,12:15:00,06:30:00,08:00:00,08:45:00,00:45:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,11,3,1,2026,24,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_GOOSEPOOL_UB13_25-06-10_W11_Tuesday_Day_JW.xlsm,Monitoring,AMCO,GOOSEPOOL UB13,990,06/10/2025,Tuesday,Day,11,05:00:00,12:15:00,06:30:00,08:00:00,08:45:00,00:45:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,11,3,1,2026,24,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_LEN3_UB247_25-06-06_W10_Friday_Day_JW.xlsm,Monitoring,AMCO,LEN3 UB247,990,06/06/2025,Friday,Day,10,05:00:00,12:15:00,06:30:00,08:00:00,08:45:00,00:45:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240207_Monitoring_TRU_W4_25-06-06_W10_Friday_Night_PS.xlsm,Monitoring,Amey,TRU_W4,240207,06/06/2025,Friday,Night,10,00:00:00,00:00:00,18:45:00,18:30:00,23:45:00,05:15:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,2,2,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240207_Monitoring_TRU_W4_25-06-03_W10_Tuesday_Night_PS.xlsm,Monitoring,Amey,TRU_W4,240207,06/03/2025,Tuesday,Night,10,22:00:00,07:00:00,02:00:00,23:00:00,06:00:00,07:00:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,6,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P0990_Monitoring_DSN1_Underbridge_25-06-05_W10_Thursday_Day_TM.xlsm,Monitoring,AMCO,DSN1 Underbridge,990,06/05/2025,Thursday,Day,10,07:30:00,16:00:00,06:25:00,10:00:00,12:05:00,02:05:00,00:00:00,00:00:00,00:00:00,00:00:00,T Moncrieff,,,,,,,,No,1,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_LEN3_UB247_25-06-05_W10_Thursday_Day_JD.xlsm,Monitoring,AMCO,LEN3 UB247,990,06/05/2025,Thursday,Day,10,07:15:00,10:15:00,02:10:00,08:05:00,08:55:00,00:50:00,00:00:00,00:00:00,00:00:00,00:00:00,J Dietz,,,,,,,,No,1,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240207_Monitoring_TRU_W4_25-06-04_W10_Wednesday_Night_PS.xlsm,Monitoring,Amey,TRU_W4,240207,06/04/2025,Wednesday,Night,10,22:00:00,05:00:00,02:00:00,23:00:00,04:00:00,05:00:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,6,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_Stalybridge_Pull_Testing_&_GI_25-06-04_W1_Wednesday_Day_JM.xlsm,SI-GI,CRSA,Stalybridge Pull Testing & GI,240245,06/04/2025,Wednesday,Day,1,07:00:00,13:00:00,03:45:00,08:45:00,11:00:00,02:15:00,00:00:00,00:00:00,00:00:00,00:00:00,Jonathan Malkin,,,,,,,,No,1,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_LEN3_UB247_25-06-04_W10_Wednesday_Day_JW.xlsm,Monitoring,AMCO,LEN3 UB247,990,06/04/2025,Wednesday,Day,10,05:00:00,12:15:00,06:30:00,08:00:00,08:45:00,00:45:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_LEN3_UB247_25-06-03_W10_Tuesday_Day_JW.xlsm,Monitoring,AMCO,LEN3 UB247,990,06/03/2025,Tuesday,Day,10,05:00:00,12:15:00,06:30:00,08:00:00,08:45:00,00:45:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/P-0990_Monitoring_LEN3_UB247_25-06-02_W10_Monday_Day_JW.xlsm,Monitoring,AMCO,LEN3 UB247,990,06/02/2025,Monday,Day,10,05:00:00,12:00:00,06:00:00,08:00:00,09:00:00,01:00:00,00:00:00,00:00:00,00:00:00,00:00:00,J Winstone,,,,,,,,No,1,0,TBC,10,3,1,2026,23,June,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240207_Monitoring_TRU_W4_Morley_Tunnel_25-05-30_W9_Friday_Day_PS.xlsm,Monitoring,Amey,TRU W4 Morley Tunnel,240207,05/30/2025,Friday,Day,9,00:00:00,00:00:00,19:00:00,15:30:00,20:30:00,05:00:00,00:00:00,00:00:00,00:00:00,00:00:00,P Serwinski,,,,,,,,No,2,1,TBC,9,2,1,2026,22,May,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_GI_Structures_25-04-08_W2_Tuesday_Night_JW - 1.xlsm,SI-GI,CRSA,GI Structures,240245,04/08/2025,Tuesday,Night,2,21:00:00,04:30:00,03:20:00,23:00:00,03:10:00,04:10:00,00:00:00,00:00:00,00:00:00,00:00:00,Jake Winstone,,,,,,,,No,1,3,TBC,2,1,1,2026,15,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_GI_Structures_25-04-08_W2_Tuesday_Night_JW.xlsm,SI-GI,CRSA,GI Structures,240245,04/08/2025,Tuesday,Night,2,21:00:00,04:10:00,03:20:00,23:00:00,02:50:00,03:50:00,00:00:00,00:00:00,00:00:00,00:00:00,Jake Winstone,,,,,,,,No,1,3,TBC,2,1,1,2026,15,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_GI_Structures_25-04-07_W2_Monday_Night_JW.xlsm,SI-GI,CRSA,GI Structures,240245,04/07/2025,Monday,Night,2,21:00:00,04:00:00,03:20:00,23:00:00,02:40:00,03:40:00,00:00:00,00:00:00,00:00:00,00:00:00,Jake Winstone,,,,,,,,No,1,3,TBC,2,1,1,2026,15,April,2025
https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/x_Project-Log_Database_x/240245_SI-GI_GI_Structures_25-04-05_W2_Saturday_Day_MC.xlsm,SI-GI,CRSA,GI Structures,240245,04/05/2025,Saturday,Day,2,07:00:00,14:40:00,02:00:00,08:00:00,13:40:00,05:40:00,00:00:00,00:00:00,00:00:00,00:00:00,Morgan Cowell,,,,,,,,No,1,3,TBC,1,1,1,2026,14,April,2025
